Nenê, Mediocentro ofensivo, 43, Brasil, Esporte Clube Juventude
Maurício Garcez, Extremo izquierdo, 28, Brasil, Esporte Clube Juventude
Petterson, Extremo izquierdo, 21, Brasil, Esporte Clube Juventude
Giovanny, Extremo izquierdo, 27, Brasil, Esporte Clube Juventude
Ênio, Extremo izquierdo, 24, Brasil, Esporte Clube Juventude
Emerson Batalla, Extremo derecho, 23, Colombia, Esporte Clube Juventude
Vitor Pernambuco, Extremo derecho, 27, Brasil, Esporte Clube Juventude
Emerson Galego, Extremo derecho, 25, Brasil, Esporte Clube Juventude
Gabriel Taliari, Delantero centro, 28, Brasil, Esporte Clube Juventude
Matheus Babi, Delantero centro, 27, Brasil, Esporte Clube Juventude
Gilberto, Delantero centro, 35, Brasil, Esporte Clube Juventude
Rafael, Portero, 35, Brasil, São Paulo FC
Jandrei, Portero, 32, Brasil, São Paulo FC
Young, Portero, 23, Brasil, São Paulo FC
Leandro Mathias, Portero, 20, Brasil, São Paulo FC
Alan Franco, Defensa central, 28, Argentina, São Paulo FC
Nahuel Ferraresi, Defensa central, 26, Venezuela, São Paulo FC
Ruan, Defensa central, 25, Brasil, São Paulo FC
Robert Arboleda, Defensa central, 33, Ecuador, São Paulo FC
Sabino, Defensa central, 28, Brasil, São Paulo FC
Matheus Belém, Defensa central, 22, Brasil, São Paulo FC
Igão, Defensa central, 17, Brasil, São Paulo FC
Wendell, Lateral izquierdo, 31, Brasil, São Paulo FC
Enzo Díaz, Lateral izquierdo, 29, Argentina, São Paulo FC
Patryck, Lateral izquierdo, 22, Brasil, São Paulo FC
Igor Vinícius, Lateral derecho, 28, Brasil, São Paulo FC
Cédric Soares, Lateral derecho, 33, Portugal, São Paulo FC
Pablo Maia, Pivote, 23, Brasil, São Paulo FC
Luan Santos, Pivote, 26, Brasil, São Paulo FC
Felipe Negrucci, Pivote, 21, Brasil, São Paulo FC
Luiz Gustavo, Pivote, 37, Brasil, São Paulo FC
Marcos Antônio, Mediocentro, 24, Brasil, São Paulo FC
Rodriguinho, Mediocentro, 21, Brasil, São Paulo FC
Damián Bobadilla, Mediocentro, 23, Paraguay, São Paulo FC
