Kevin Balanta, Defensa central, 27, Colombia, CSD Defensa y Justicia
Lucas Ferreira, Defensa central, 24, Uruguay, CSD Defensa y Justicia
Emanuel Aguilera, Defensa central, 35, Argentina, CSD Defensa y Justicia
Agustín Sienra, Defensa central, 25, Argentina, CSD Defensa y Justicia
Alexis Soto, Lateral izquierdo, 31, Argentina, CSD Defensa y Justicia
Ignacio Galván, Lateral izquierdo, 22, Argentina, CSD Defensa y Justicia
Damián Pérez, Lateral izquierdo, 36, Argentina, CSD Defensa y Justicia
Rafael Delgado, Lateral izquierdo, 34, Argentina, CSD Defensa y Justicia
Tobías Rubio, Lateral derecho, 20, Argentina, CSD Defensa y Justicia
Ezequiel Cannavo, Lateral derecho, 22, Argentina, CSD Defensa y Justicia
Lucas Souto, Lateral derecho, 26, Argentina, CSD Defensa y Justicia
Kevin Gutiérrez, Pivote, 27, Argentina, CSD Defensa y Justicia
Benjamín Schamine, Pivote, 21, Argentina, CSD Defensa y Justicia
Maximiliano González, Pivote, 20, Argentina, CSD Defensa y Justicia
César Pérez, Mediocentro, 21, Chile, CSD Defensa y Justicia
Lucas González, Mediocentro, 24, Argentina, CSD Defensa y Justicia
Santiago Sosa, Mediocentro, 19, Argentina, CSD Defensa y Justicia
Valentín Larralde, Mediocentro, 24, Argentina, CSD Defensa y Justicia
Matías Miranda, Mediocentro, 24, Argentina, CSD Defensa y Justicia
Aarón Molinas, Mediocentro ofensivo, 24, Argentina, CSD Defensa y Justicia
Nicolás Palavecino, Mediocentro ofensivo, 21, Argentina, CSD Defensa y Justicia
Gastón Togni, Extremo izquierdo, 27, Argentina, CSD Defensa y Justicia
Gastón González, Extremo izquierdo, 23, Argentina, CSD Defensa y Justicia
Matías Ramírez, Extremo izquierdo, 25, Argentina, CSD Defensa y Justicia
Francisco González, Extremo derecho, 23, Argentina, CSD Defensa y Justicia
David Barbona, Extremo derecho, 29, Argentina, CSD Defensa y Justicia
Matías Sosa, Extremo derecho, 23, Argentina, CSD Defensa y Justicia
Abiel Osorio, Delantero centro, 22, Argentina, CSD Defensa y Justicia
Juan Miritello, Delantero centro, 25, Argentina, CSD Defensa y Justicia
Agustín Hausch, Delantero centro, 21, Argentina, CSD Defensa y Justicia


Felipe Zenobio, Portero, 24, Argentina, CA Tigre
Alan Sosa, Portero, 28, Argentina, CA Tigre
Alan Barrionuevo, Defensa central, 27, Argentina, CA Tigre
Federico Tévez, Defensa central, 25, Argentina, CA Tigre
Ramón Arias, Defensa central, 32, Uruguay, CA Tigre
Joaquín Laso, Defensa central, 34, Argentina, CA Tigre
Nehuén Paz, Defensa central, 31, Argentina, CA Tigre
Nahuel Banegas, Lateral izquierdo, 28, Argentina, CA Tigre
Diego Sosa, Lateral izquierdo, 27, Argentina, CA Tigre
Martín Ortega, Lateral derecho, 25, Argentina, CA Tigre
Martín Garay, Lateral derecho, 25, Argentina, CA Tigre
Valentín Moreno, Lateral derecho, 21, Argentina, CA Tigre
Julián López, Pivote, 24, Argentina, CA Tigre
Jabes Saralegui, Mediocentro, 21, Argentina, CA Tigre
Lorenzo Scipioni, Mediocentro, 20, Argentina, CA Tigre
Santiago González, Mediocentro, 21, Argentina, CA Tigre
Gonzalo Piñeiro, Mediocentro, 24, Argentina, CA Tigre
Sebastián Medina, Interior izquierdo, 24, Argentina, CA Tigre
Elías Cabrera, Mediocentro ofensivo, 21, Argentina, CA Tigre
Ignacio Neira, Mediocentro ofensivo, 26, Uruguay, CA Tigre
Blas Armoa, Extremo izquierdo, 24, Paraguay, CA Tigre
Romeo Benítez, Extremo izquierdo, 22, Paraguay, CA Tigre
Lucas Besozzi, Extremo izquierdo, 21, Argentina, CA Tigre
Héctor Fértoli, Extremo izquierdo, 30, Argentina, CA Tigre
Maximiliano Zalazar, Extremo derecho, 23, Argentina, CA Tigre
Darío Sarmiento, Extremo derecho, 21, Argentina, CA Tigre
Ignacio Russo, Delantero centro, 24, Argentina, CA Tigre
David Romero, Delantero centro, 21, Argentina, CA Tigre
Alfio Oviedo, Delantero centro, 29, Paraguay, CA Tigre
Eric Ramírez, Delantero centro, 26, Venezuela, CA Tigre
Ijiel Protti, Delantero centro, 29, Argentina, CA Tigre


Nahuel Losada, Portero, 31, Argentina, CA Lanús
Lautaro Morales, Portero, 24, Argentina, CA Lanús
Nicolás Cláa, Portero, 20, Argentina, CA Lanús
Ronaldo Dejesús, Defensa central, 23, Paraguay/Brasil, CA Lanús
Gonzalo Pérez, Defensa central, 23, Uruguay, CA Lanús
Carlos Izquierdoz, Defensa central, 36, Argentina, CA Lanús
Franco Ortellado, Defensa central, 23, Argentina, CA Lanús
Ezequiel Muñoz, Defensa central, 34, Argentina, CA Lanús
Leonel Cardozo, Defensa central, 20, Argentina, CA Lanús
Sasha Marcich, Lateral izquierdo, 26, Argentina/Croacia, CA Lanús
Octavio Ontivero, Lateral izquierdo, 18, Argentina, CA Lanús
Armando Méndez, Lateral derecho, 28, Uruguay/Argentina, CA Lanús
Nicolás Morgantini, Lateral derecho, 30, Argentina, CA Lanús
Brian Aguilar, Lateral derecho, 21, Argentina, CA Lanús
Felipe Peña Biafore, Pivote, 23, Argentina, CA Lanús
Raúl Loaiza, Pivote, 30, Colombia, CA Lanús
Agustín Cardozo, Mediocentro, 27, Argentina, CA Lanús
Juan Ramírez, Mediocentro, 31, Argentina, CA Lanús
Agustín Medina, Mediocentro, 18, Argentina, CA Lanús
Agustín Rodríguez, Mediocentro, 20, Argentina/España, CA Lanús
Ramiro Carrera, Interior derecho, 30, Argentina, CA Lanús
Marcelino Moreno, Mediocentro ofensivo, 29, Argentina, CA Lanús
Franco Orozco, Extremo izquierdo, 22, Argentina/Italia, CA Lanús
Dylan Aquino, Extremo izquierdo, 19, Argentina, CA Lanús
Lautaro Acosta, Extremo izquierdo, 36, Argentina, CA Lanús
Eduardo Salvio, Extremo derecho, 34, Argentina, CA Lanús
Alexis Segovia, Extremo derecho, 20, Argentina, CA Lanús
Walter Bou, Delantero centro, 31, Argentina, CA Lanús
Alexis Canelo, Delantero centro, 32, Argentina, CA Lanús
Bruno Cabrera, Delantero centro, 21, Argentina, CA Lanús



Sebastián Meza, Portero, 24, Argentina, CA Huracán
Hernán Galíndez, Portero, 37, Ecuador/Argentina, CA Huracán
Marco Pellegrino, Defensa central, 22, Argentina/Italia, CA Huracán
Lucas Carrizo, Defensa central, 27, Argentina, CA Huracán
Nicolás Goitea, Defensa central, 27, Argentina, CA Huracán
Daniel Zabala, Defensa central, 21, Argentina, CA Huracán
Fabio Pereyra, Defensa central, 34, Argentina, CA Huracán
Santiago Moya, Defensa central, 21, Argentina, CA Huracán
César Ibáñez, Lateral izquierdo, 25, Argentina, CA Huracán
Leandro Lescano, Lateral izquierdo, 21, Argentina, CA Huracán
Tomás Guidara, Lateral derecho, 28, Argentina/Albania, CA Huracán
Hernán de la Fuente, Lateral derecho, 27, Argentina/España, CA Huracán
Iván Valenzuela, Lateral derecho, 23, Argentina, CA Huracán
Leonel Pérez, Pivote, 20, Argentina, CA Huracán
Víctor Cantillo, Pivote, 31, Colombia, CA Huracán
Emmanuel Ojeda, Pivote, 27, Argentina, CA Huracán
Agostino Spina, Pivote, 23, Argentina/Italia, CA Huracán
Leonardo Gil, Mediocentro, 33, Chile/Argentina, CA Huracán
Gabriel Alanís, Interior izquierdo, 30, Argentina/Italia, CA Huracán
Matko Miljevic, Mediocentro ofensivo, 23, Estados Unidos/Argentina, CA Huracán
Franco Watson, Mediocentro ofensivo, 22, Argentina/Italia, CA Huracán
Agustín Urzi, Extremo izquierdo, 24, Argentina/Italia, CA Huracán
Rodrigo Cabral, Extremo izquierdo, 24, Argentina, CA Huracán
Walter Mazzantti, Extremo derecho, 28, Argentina, CA Huracán
Leonardo Sequeira, Extremo derecho, 29, Argentina, CA Huracán
Matías Tissera, Delantero centro, 28, Argentina, CA Huracán
Eric Ramírez, Delantero centro, 28, Argentina, CA Huracán
Leandro Garate, Delantero centro, 31, Argentina, CA Huracán
Ramón Ábila, Delantero centro, 34, Argentina, CA Huracán


Franco Petroli, Portero, 26, Argentina, CD Godoy Cruz Antonio Tomba
Roberto Ramírez, Portero, 28, Argentina, CD Godoy Cruz Antonio Tomba
Edilson Salinas, Portero, 22, Argentina, CD Godoy Cruz Antonio Tomba
Mateo Mendoza, Defensa central, 20, Argentina, CD Godoy Cruz Antonio Tomba
Federico Rasmussen, Defensa central, 32, Argentina, CD Godoy Cruz Antonio Tomba
Tomás Rossi, Defensa central, 25, Argentina, CD Godoy Cruz Antonio Tomba
Leandro Quiroz, Defensa central, 20, Argentina, CD Godoy Cruz Antonio Tomba
Andrés Meli, Lateral izquierdo, 24, Argentina, CD Godoy Cruz Antonio Tomba
Juan Morán, Lateral izquierdo, 18, Argentina, CD Godoy Cruz Antonio Tomba
Lucas Arce, Lateral derecho, 27, Argentina, CD Godoy Cruz Antonio Tomba
