Augusto Picco, Interior derecho, 21, Argentina, CA Patronato
Emanuel Moreno, Interior izquierdo, 35, Argentina, CA Patronato
Juan Pablo Barinaga, Mediocentro ofensivo, 24, Argentina, CA Patronato
Alan Sombra, Extremo izquierdo, 31, Argentina, CA Patronato
Valentín Villarreal, Extremo izquierdo, 20, Argentina, CA Patronato
Julián Marcioni, Extremo derecho, 27, Argentina, CA Patronato
Matías Pardo, Extremo derecho, 30, Argentina, CA Patronato
Alan Bonansea, Delantero centro, 28, Argentina, CA Patronato
Federico Castro, Delantero centro, 31, Argentina, CA Patronato
Federico Abadía, Portero, 26, Argentina, Club de Gimnasia y Tiro
Federico Cosentino, Portero, 37, Argentina, Club de Gimnasia y Tiro
Manuel Guanini, Defensa central, 29, Argentina, Club de Gimnasia y Tiro
Gabriel Díaz, Defensa central, 35, Argentina, Club de Gimnasia y Tiro
Isaac Monti, Defensa central, 27, Argentina, Club de Gimnasia y Tiro
Adolfo Tallura, Defensa central, 38, Argentina, Club de Gimnasia y Tiro
Luis Olivera, Lateral izquierdo, 26, Argentina, Club de Gimnasia y Tiro
Ivo Chaves, Lateral derecho, 31, Argentina, Club de Gimnasia y Tiro
Juan Galetto, Lateral derecho, 28, Argentina, Club de Gimnasia y Tiro
Matías Birge, Pivote, 36, Argentina, Club de Gimnasia y Tiro
Nicolás Rinaldi, Mediocentro, 31, Argentina, Club de Gimnasia y Tiro
Matías Morello, Mediocentro, 24, Argentina, Club de Gimnasia y Tiro
Franco Sivetti, Mediocentro, 26, Argentina, Club de Gimnasia y Tiro
Wálter Busse, Mediocentro, 38, Argentina, Club de Gimnasia y Tiro
Facundo Heredia, Interior izquierdo, 26, Argentina, Club de Gimnasia y Tiro
Ruben Villarreal, Interior izquierdo, 34, Argentina, Club de Gimnasia y Tiro
Jonás Aguirre, Extremo izquierdo, 33, Argentina, Club de Gimnasia y Tiro
José Méndez, Extremo derecho, 32, Argentina, Club de Gimnasia y Tiro
Daniel Villalva, Mediapunta, 32, Argentina, Club de Gimnasia y Tiro
Nicolás Contin, Delantero centro, 29, Argentina, Club de Gimnasia y Tiro
Fabricio Rojas, Delantero centro, 24, Argentina, Club de Gimnasia y Tiro
Leonel Buter, Delantero centro, 32, Argentina, Club de Gimnasia y Tiro
Emilio Di Fulvio, Portero, 30, Argentina, CA Colegiales
Juan Martín Rojas, Portero, 25, Argentina, CA Colegiales
Francisco Salerno, Portero, 24, Argentina, CA Colegiales
Santiago Strasorier, Defensa central, 24, Argentina, CA Colegiales
Ián Rasso, Defensa central, 24, Argentina, CA Colegiales
Leandro Martínez Montagnoli, Defensa central, 38, Argentina, CA Colegiales
Sebastián Silguero, Defensa central, 33, Argentina, CA Colegiales
Martín Rodríguez, Lateral izquierdo, 26, Argentina, CA Colegiales
Franco Hanashiro, Lateral izquierdo, 23, Argentina, CA Colegiales
Fernando Ponce, Lateral izquierdo, 32, Argentina, CA Colegiales
Mauricio Camargo, Lateral izquierdo, 23, Argentina, CA Colegiales
Franco Malagueño, Lateral derecho, 26, Argentina, CA Colegiales
Nicolás Álvarez, Lateral derecho, 35, Argentina, CA Colegiales
Fernando Di Massimo, Lateral derecho, 20, Argentina, CA Colegiales
Federico Marín, Pivote, 27, Argentina, CA Colegiales
Facundo Montiel, Pivote, 20, Argentina, CA Colegiales
Lucas Giménez, Pivote, 26, Argentina, CA Colegiales
Lautaro Torres, Mediocentro, 28, Argentina, CA Colegiales
David Müller, Mediocentro, 30, Argentina, CA Colegiales
Bahiano Garcia, Mediocentro, 24, Argentina, CA Colegiales
Joaquín Cancio, Mediocentro, 22, Argentina, CA Colegiales
Leonel Duarte, Mediocentro, 24, Argentina, CA Colegiales
Andrés Lioi, Interior derecho, 28, Argentina, CA Colegiales
Mauricio Bermejo, Interior derecho, 24, Argentina, CA Colegiales
Laureano Marra, Mediocentro ofensivo, 22, Argentina, CA Colegiales
Ignacio Vallejos, Mediocentro ofensivo, 24, Argentina, CA Colegiales
Iván Ortigoza, Extremo izquierdo, 30, Argentina, CA Colegiales
Iván Fernández, Extremo derecho, 24, Argentina, CA Colegiales
Lucio Castillo, Mediapunta, 23, Argentina, CA Colegiales
Lautaro Gordillo, Delantero centro, 26, Argentina, CA Colegiales
Guillermo Villalba, Delantero centro, 29, Argentina, CA Colegiales
Valentín Robaldo, Delantero centro, 25, Argentina, CA Colegiales
Nicolas Franco, Delantero centro, 29, Argentina, CA Colegiales
Benjamin Giménez, Delantero centro, 24, Argentina, CA Colegiales
Joaquín Mattalia, Portero, 33, Argentina, CA Racing (Córdoba)
Mauricio Maslovski, Portero, 25, Argentina, CA Racing (Córdoba)
Leonardo Rodríguez, Portero, 32, Argentina, CA Racing (Córdoba)
Valentín Perales, Defensa central, 29, Argentina, CA Racing (Córdoba)
Martin Albarracin, Defensa central, 24, Argentina, CA Racing (Córdoba)
Daniel Abello, Defensa central, 30, Argentina, CA Racing (Córdoba)
Wilfredo Olivera, Defensa central, 38, Argentina, CA Racing (Córdoba)
Gianfranco Ferrero, Lateral izquierdo, 29, Argentina, CA Racing (Córdoba)
Luca Frenguelli, Lateral izquierdo, 24, Argentina, CA Racing (Córdoba)
Lucas Flores, Lateral izquierdo, 24, Argentina, CA Racing (Córdoba)
Raul Chamorro, Lateral derecho, 26, Argentina, CA Racing (Córdoba)
Fabrizio Ghiggia, Lateral derecho, 21, Argentina, CA Racing (Córdoba)
Braian Rivero, Mediocentro, 29, Argentina, CA Racing (Córdoba)
Gonzalo Rostagno, Mediocentro, 19, Argentina, CA Racing (Córdoba)
Nicolás Sánchez, Mediocentro, 27, Argentina, CA Racing (Córdoba)
Nicolás Sánchez, Mediocentro, 20, Argentina, CA Racing (Córdoba)
Santiago Churchi, Mediocentro, 26, Argentina, CA Racing (Córdoba)
Matías Machado, Interior derecho, 23, Argentina, CA Racing (Córdoba)
Germán Díaz, Mediocentro ofensivo, 28, Argentina, CA Racing (Córdoba)
Maximiliano Gutiérrez, Mediocentro ofensivo, 28, Argentina, CA Racing (Córdoba)
Axel Oyola, Mediocentro ofensivo, 28, Argentina, CA Racing (Córdoba)
Leonel Monti, Mediocentro ofensivo, 22, Argentina, CA Racing (Córdoba)
Francisco Robles, Mediocentro ofensivo, 24, Argentina, CA Racing (Córdoba)
Francisco Monticelli, Mediocentro ofensivo, 22, Argentina, CA Racing (Córdoba)
Leandro Fernández, Extremo izquierdo, 30, Argentina, CA Racing (Córdoba)
Guillermo Sánchez, Extremo derecho, 30, Argentina, CA Racing (Córdoba)
Julián Vignolo, Delantero centro, 18, Argentina, CA Racing (Córdoba)
Pablo Chavarría, Delantero centro, 37, Argentina, CA Racing (Córdoba)
Lautaro Villegas, Delantero centro, 28, Argentina, CA Racing (Córdoba)
Sebastián Marfort, Delantero centro, 22, Argentina, CA Racing (Córdoba)
Leonel Barrios, Delantero centro, 31, Argentina, CA Racing (Córdoba)
Mateo Suárez, Delantero centro, 24, Argentina, CA Racing (Córdoba)
Mariano Monllor, Portero, 36, Argentina, CA Los Andes
Sebastián López, Portero, 39, Argentina, CA Los Andes
Franco Rivasseau, Portero, 26, Argentina, CA Los Andes
Brian Leizza, Defensa central, 25, Argentina, CA Los Andes
Francisco Marco, Defensa central, 21, Argentina, CA Los Andes
Román Riquelme, Defensa central, 23, Argentina, CA Los Andes
Lucas Barrientos, Defensa central, 19, Argentina, CA Los Andes
Guido Segalerba, Defensa central, 26, Argentina, CA Los Andes
Nazareno Fernández Colombo, Lateral izquierdo, 28, Argentina, CA Los Andes
Emanuel Diaz, Lateral izquierdo, 23, Argentina, CA Los Andes
Aaron Sandoval, Lateral derecho, 19, Argentina, CA Los Andes
Agustin Bellone, Lateral derecho, 32, Argentina, CA Los Andes
Gabriel Carrasco, Lateral derecho, 28, Argentina, CA Los Andes
Facundo Villarreal, Centrocampista, 20, Argentina, CA Los Andes
Carlos Arce, Pivote, 34, Argentina, CA Los Andes
Brian Quintana, Pivote, 22, Argentina, CA Los Andes
Gonzalo Cozzoni, Pivote, 36, Argentina, CA Los Andes
Matias Gómez, Mediocentro, 21, Argentina, CA Los Andes
Gabriel Cañete, Mediocentro, 26, Argentina, CA Los Andes
Marcos Brítez Ojeda, Mediocentro, 39, Argentina, CA Los Andes
Franco Rodríguez, Mediocentro, 25, Argentina, CA Los Andes
Lautaro Álvarez, Mediocentro, 21, Argentina, CA Los Andes
Taiel Arancibia, Mediocentro, 23, Argentina, CA Los Andes
Guillermo Pereira, Interior derecho, 31, Argentina, CA Los Andes
Tomás Sives, Mediocentro ofensivo, 21, Argentina, CA Los Andes
Gastón Gerzel, Extremo izquierdo, 25, Argentina, CA Los Andes
Tomás Rambert, Extremo izquierdo, 21, Argentina, CA Los Andes
Mateo Cardozo, Extremo derecho, 21, Argentina, CA Los Andes
Mauricio Asenjo, Delantero centro, 30, Argentina, CA Los Andes
Tomás Pérez, Delantero centro, 19, Argentina, CA Los Andes
Enzo Díaz, Delantero centro, 33, Argentina, CA Los Andes
Federico Martínez, Delantero centro, 30, Argentina, CA Los Andes
Enzo Luna, Delantero centro, 22, Argentina, CA Los Andes
Axel Páez, Delantero centro, 21, Argentina, CA Los Andes
Agustín Rufinetti, Portero, 25, Argentina, CA San Telmo
Joaquín Enrico, Portero, 23, Argentina, CA San Telmo
Santiago Fernández, Defensa, 21, Argentina, CA San Telmo
Leonel Pollacchi, Defensa central, 22, Argentina, CA San Telmo
Nicolás Morro, Defensa central, 27, Argentina, CA San Telmo
Gabriel Pusula, Defensa central, 28, Argentina, CA San Telmo
Santiago Formichelli, Defensa central, 27, Argentina, CA San Telmo
Federico Peralta, Defensa central, 23, Argentina, CA San Telmo
Agustín Ojeda, Lateral izquierdo, 23, Argentina, CA San Telmo
Rodrigo Sosa, Lateral izquierdo, 22, Argentina, CA San Telmo
Nicolás Dell Aquila, Lateral derecho, 23, Argentina, CA San Telmo
Renzo Uriburu, Pivote, 21, Argentina, CA San Telmo
Elías Brítez, Pivote, 24, Argentina, CA San Telmo
Valentín Matlis, Pivote, 24, Argentina, CA San Telmo
Ian Pardo, Pivote, 21, Argentina, CA San Telmo
Juan Yangali, Mediocentro, 25, Argentina, CA San Telmo
Facundo Tello, Mediocentro, 31, Argentina, CA San Telmo
Lautaro César, Interior derecho, 24, Argentina, CA San Telmo
Joaquín Ochoa, Mediocentro ofensivo, 28, Argentina, CA San Telmo
Agustín Maidana, Mediocentro ofensivo, 23, Argentina, CA San Telmo
Marcos Astina, Extremo izquierdo, 29, Argentina, CA San Telmo
Matías Salerno, Extremo izquierdo, 21, Argentina, CA San Telmo
Iñaki Larthirigoyen, Extremo derecho, 21, Argentina, CA San Telmo
Cristian Núñez, Extremo derecho, 24, Paraguay, CA San Telmo
Jerónimo Porto, Extremo derecho, 24, Argentina, CA San Telmo
Franco Aguirre, Extremo derecho, 25, Argentina, CA San Telmo
