Boubacar Traoré, Pivote, 23, Malí, Wolverhampton Wanderers
Joe Hodge, Pivote, 22, Irlanda, Wolverhampton Wanderers
João Gomes, Mediocentro, 24, Brasil, Wolverhampton Wanderers
Jean-Ricner Bellegarde, Mediocentro, 26, Francia, Wolverhampton Wanderers
Marshall Munetsi, Mediocentro, 28, Zimbabue, Wolverhampton Wanderers
Tommy Doyle, Mediocentro, 23, Inglaterra, Wolverhampton Wanderers
Rodrigo Gomes, Interior derecho, 21, Portugal, Wolverhampton Wanderers
Chem Campbell, Mediocentro ofensivo, 22, Gales, Wolverhampton Wanderers
Tawanda Chirewa, Mediocentro ofensivo, 21, Zimbabue, Wolverhampton Wanderers
Gonçalo Guedes, Extremo izquierdo, 28, Portugal, Wolverhampton Wanderers
Carlos Forbs, Extremo izquierdo, 21, Portugal, Wolverhampton Wanderers
Enso González, Extremo izquierdo, 20, Paraguay, Wolverhampton Wanderers
Pablo Sarabia, Extremo derecho, 33, España, Wolverhampton Wanderers
Matheus Cunha, Mediapunta, 26, Brasil, Wolverhampton Wanderers
Jørgen Strand Larsen, Delantero centro, 25, Noruega, Wolverhampton Wanderers
Hee-chan Hwang, Delantero centro, 29, Corea del Sur, Wolverhampton Wanderers
Sasa Kalajdzic, Delantero centro, 27, Austria, Wolverhampton Wanderers
Nathan Fraser, Delantero centro, 20, Irlanda, Wolverhampton Wanderers
Guglielmo Vicario, Portero, 28, Italia, Tottenham Hotspur
Antonín Kinský, Portero, 22, República Checa, Tottenham Hotspur
Fraser Forster, Portero, 37, Inglaterra, Tottenham Hotspur
Brandon Austin, Portero, 26, Inglaterra, Tottenham Hotspur
Alfie Whiteman, Portero, 26, Inglaterra, Tottenham Hotspur
Cristian Romero, Defensa central, 27, Argentina, Tottenham Hotspur
Micky van de Ven, Defensa central, 24, Países Bajos, Tottenham Hotspur
Kevin Danso, Defensa central, 26, Austria, Tottenham Hotspur
Radu Drăgușin, Defensa central, 23, Rumania, Tottenham Hotspur
Ben Davies, Defensa central, 32, Gales, Tottenham Hotspur
Destiny Udogie, Lateral izquierdo, 22, Italia, Tottenham Hotspur
Djed Spence, Lateral izquierdo, 24, Inglaterra, Tottenham Hotspur
Sergio Reguilón, Lateral izquierdo, 28, España, Tottenham Hotspur
